u algo SAMPLE-sum SAMPLE-min SAMPLE-max SAMPLE-mean SAMPLE-var SAMPLE-std volume_success-sum volume_success-min volume_success-max volume_success-mean volume_success-var volume_success-std throughput_success-sum throughput_success-min throughput_success-max throughput_success-mean throughput_success-var throughput_success-std ttc_for_successful_tx-sum ttc_for_successful_tx-min ttc_for_successful_tx-max ttc_for_successful_tx-mean ttc_for_successful_tx-var ttc_for_successful_tx-std volume_for_successful_tx-sum volume_for_successful_tx-min volume_for_successful_tx-max volume_for_successful_tx-mean volume_for_successful_tx-var volume_for_successful_tx-std runtime-sum runtime-min runtime-max runtime-mean runtime-var runtime-std count_success-sum count_success-min count_success-max count_success-mean count_success-var count_success-std 
0 retry-02-amp-2 10 1 1 1.0 0.0 0.0 4391521.513375 415517.1384 466700.638991 439152.1513375 227078619.26965955 15069.12801955241 211.1239596266803 19.93107595274168 22.37643187349059 21.11239596266803 0.5547442199288456 0.7448115331604671 5.266116624312419 0.5215068517445229 0.5327077536758296 0.5266116624312419 1.3111751008864113e-05 0.003621015190366386 127.32949777209781 12.05200969921977 13.447260963262837 12.732949777209782 0.1727842751861339 0.4156732793747199 208017.279559 20617.275389 21011.474301 20801.7279559 17418.96430793427 131.9809240304608 344880 34244 34706 34488.0 15931.11111111111 126.21850542258497 
0 redundancy-02-amp-2 10 1 1 1.0 0.0 0.0 4425337.384063001 398352.241251 466468.948041 442533.7384063001 470622814.45150983 21693.84277742212 212.53711292182817 19.01575347966036 22.541972094441594 21.253711292182818 1.1966303553384738 1.0939060084570675 5.265697101537469 0.5217894928129051 0.5319106206445994 0.526569710153747 1.1753911868741563e-05 0.0034283978574170125 128.00430322821148 11.566557527613242 13.437100620509867 12.80043032282115 0.3618557538370667 0.6015444736983847 208240.921193 20693.351322 20995.18001 20824.0921193 9505.955239269982 97.49848839479503 345688 34440 34754 34568.8 11740.844444444441 108.35517728491077 
0 redundantretry-02-amp-2-10 10 1 1 1.0 0.0 0.0 4371765.384853 413975.365276 474614.790122 437176.5384853 336364025.04372054 18340.229688957566 210.21071372763026 19.72612023689324 22.92809362435403 21.02107137276303 0.869445210933635 0.9324404597257859 5.265562742493435 0.5215772382582186 0.5322271218097447 0.5265562742493435 1.2727827078802137e-05 0.0035676080332348926 126.73236340719049 12.006246092691415 13.650515980384824 12.67323634071905 0.2533099764829864 0.5032990924718486 207992.24789700002 20686.555006 20986.152386 20799.224789700005 12514.258249640332 111.86714553272704 344936 34312 34769 34493.6 18603.37777777778 136.39419994185155 
2 retry-02-amp-2 10 1 1 1.0 0.0 0.0 5555033.460371 533894.740445 588650.695733 555503.3460371 290078151.996804 17031.680832988975 259.67282032646136 24.872538174884273 27.429431165606054 25.96728203264614 0.6660805169792441 0.8161375600836198 5.316531128005913 0.5268368788519207 0.5372173999423132 0.5316531128005914 1.1327196764800078e-05 0.003365590106474655 159.02942842914263 15.246294489833799 16.75158496678998 15.902942842914264 0.20685782283845877 0.45481625173080475 213932.32529600002 21228.404542 21577.92049 21393.232529600005 14763.226357738968 121.50401786664904 349294 34670 35140 34929.4 28486.266666666663 168.7787506372371 
2 redundancy-02-amp-2 10 1 1 1.0 0.0 0.0 5888535.963242 558790.663929 666983.865705 588853.5963242 874519925.9477664 29572.283069586738 280.2143360131644 26.40011681387954 31.644003179699755 28.021433601316446 1.905298899351999 1.3803256497479133 4.7474746635346845 0.4701795896588091 0.47959012545335117 0.4747474663534685 9.679692637742307e-06 0.003111220441843089 167.45682087937226 15.957696659593912 18.76290834097558 16.745682087937226 0.5965388989219814 0.7723593068785936 210140.052206 20797.112867 21166.219372 21014.0052206 16979.610835843043 130.305835770479 351593 34913 35548 35159.3 37835.7888888889 194.5142382677651 
2 redundantretry-02-amp-2-10 10 1 1 1.0 0.0 0.0 5849959.264083001 545952.512681 631814.942998 584995.9264083001 648229914.0866979 25460.359661377486 278.5753738332726 26.356103795800035 30.08972195253396 27.85753738332726 1.3925972237909674 1.1800835664439056 4.745784314570492 0.4698844684514074 0.4796445344886754 0.4745784314570492 9.590240483801148e-06 0.0030968113413317815 166.50688366139892 15.66533277900204 17.864533124042186 16.650688366139892 0.4731530810626066 0.6878612367786155 209989.33354800002 20714.462081 21194.692812 20998.933354800003 17964.11731434777 134.03028506403982 351309 34851 35367 35130.9 28932.544444444444 170.09569202200402 
4 retry-02-amp-2 10 1 1 1.0 0.0 0.0 6857764.937716 651074.63035 731033.59483 685776.4937716001 477915538.1830645 21861.279426947192 309.6820667733373 29.17868616603751 33.057507832913274 30.96820667733373 1.090424049098665 1.0442337138297466 5.383803355068589 0.5338971983657368 0.5444735192361775 0.5383803355068589 1.390482591823385e-05 0.003728917526338421 192.28438193147494 18.307640816297837 20.384629826278513 19.228438193147497 0.3391394776841482 0.5823568302030536 221461.52349999998 21900.611847 22356.680618 22146.15235 18262.30497619637 135.13809594705842 356634 35490 35862 35663.4 17880.933333333327 133.7196071387189 
4 redundancy-02-amp-2 10 1 1 1.0 0.0 0.0 7391933.87586 713554.724838 756765.049422 739193.387586 241584692.3171551 15542.994959696638 348.4166811026597 33.6201711581747 35.60236674444448 34.84166811026597 0.5833047054873314 0.7637438742715593 4.495627590326198 0.4455419213417679 0.4541677655134084 0.4495627590326199 7.501128727680215e-06 0.002738818856310182 204.94398358495894 19.862897362153436 21.03001387861609 20.494398358495896 0.17495472683402263 0.4182758979836427 212164.153777 21047.051942 21365.468571 21216.415377700003 11695.036016528074 108.14358980784795 360678 35924 36217 36067.8 12124.399999999998 110.11085323436558 
4 redundantretry-02-amp-2-10 10 1 1 1.0 0.0 0.0 7466670.984500999 707868.214867 787159.317774 746667.0984500999 710555915.2058067 26656.25471077673 351.8084782734541 33.26130833299041 37.066643851840986 35.18084782734541 1.6324860977752538 1.2776877935455335 4.496232887543549 0.44546944428737734 0.4542090840364121 0.4496232887543549 7.979989863058851e-06 0.002824887584145403 206.98252771213055 19.602564727285316 21.67169532993778 20.698252771213056 0.4852787412348273 0.6966195096570489 212243.862924 21048.796888 21392.131773 21224.3862924 12083.060839667727 109.92297685046438 360719 35884 36322 36071.9 18631.43333333333 136.49700851422836 
6 retry-02-amp-2 10 1 1 1.0 0.0 0.0 8019310.079074001 769045.752297 831092.921225 801931.0079074001 439816862.0689804 20971.811129918664 351.8809593919169 33.50146337014629 36.454192748176844 35.18809593919169 0.8614582745107133 0.9281477654504768 5.443155443610458 0.5381974850988329 0.5504805354969012 0.5443155443610458 1.576266486234405e-05 0.003970222268632331 221.45706039270067 21.277272916583666 22.820311409566436 22.145706039270067 0.3121235977014641 0.558680228486264 227904.062004 22482.940067 22992.049453 22790.4062004 21997.743088157804 148.31636149851371 362110 36071 36419 36211.0 15137.333333333332 123.0338706752467 
6 redundancy-02-amp-2 10 1 1 1.0 0.0 0.0 8991455.056993999 853234.963471 958087.33658 899145.5056993999 976378653.3655053 31247.05831539195 421.4119909848119 39.856732964125136 44.96511519448212 42.141199098481195 2.274728930407481 1.508220451528052 4.320815789447728 0.4282125213239284 0.4365149574798009 0.43208157894477284 7.088468347591162e-06 0.002662417763535836 243.88842366167052 23.081614550424714 25.87187666288615 24.388842366167054 0.6643151396859184 0.8150552985447788 213374.80272799998 21176.182228 21490.837257 21337.4802728 11411.635857459707 106.8252585181038 368659 36635 37052 36865.9 18210.099999999995 134.94480353092518 
6 redundantretry-02-amp-2-10 10 1 1 1.0 0.0 0.0 8944362.840794 819842.939722 932996.209096 894436.2840794001 1223234326.1960502 34974.76699273421 419.04642379822116 38.24827773500291 43.36585850680326 41.90464237982212 2.8388799870901265 1.6848976191716 4.321126380646507 0.4283137861223164 0.4367093889960079 0.4321126380646507 7.311277555691182e-06 0.002703937417118078 242.53717509038742 22.357320417834742 25.33732202960106 24.253717509038744 0.8639196809536278 0.9294727973177203 213456.80736900002 21199.469839 21514.53335 21345.6807369 8910.89147252241 94.39751835997814 368773 36670 36980 36877.3 9179.344444444445 95.80889543484177 
